category,scientific_name,common_names,conservation_status
Vas. Plant,Liatris squarrosa,Scaly Blazing Star,
Vas. Plant,Liatris squarrulosa,"Appalachian Gayfeather, Earle's Blazing Star",
Vas. Plant,Matricaria discoidea,"Disc Mayweed, Pineapple-Weed Chamomile",
Vas. Plant,Oclemena acuminata,Whorled Wood Aster,
Vas. Plant,Oligoneuron rigidum var. rigidum,Stiff Goldenrod,
Vas. Plant,Packera anonyma,Small's Ragwort,
Vas. Plant,Packera aurea,Golden Ragwort,
Vas. Plant,Packera obovata,Roundleaf Ragwort,
Vas. Plant,Parthenium integrifolium,"American Fever-Few, Wild Quinine",Species of Concern
Vas. Plant,Picris hieracioides,Hawkweed Oxtongue,
Vas. Plant,Pityopsis graminifolia var. graminifolia,Grass-Leaved Golden Aster,
Vas. Plant,Pityopsis graminifolia var. latifolia,Narrowleaf Silkgrass,
Vas. Plant,Pluchea camphorata,"Camphorweed, Marsh Fleabane",
Vas. Plant,Polymnia canadensis,"Leaf-Cup, White-Flower Leafcup",
Vas. Plant,Polymnia laevigata,Tennessee Leafcup,
Vas. Plant,Prenanthes alba,"White Rattlesnakeroot, White Rattlesnake-Root",
Vas. Plant,Prenanthes altissima,"Tall Rattlesnakeroot, Tall Rattlesnake-Root",
Vas. Plant,Prenanthes roanensis,"Roan Rattlesnakeroot, Roan's Rattlesnakeroot",
Vas. Plant,Prenanthes serpentaria,"Lion's-Foot, Rattlesnakeroot",
Vas. Plant,Prenanthes trifoliolata,"Lion's Foot, Three-Leaved Rattlesnake-Root",
Vas. Plant,Pseudognaphalium helleri ssp. helleri,Heller's Cudweed,
Vas. Plant,Pseudognaphalium obtusifolium ssp. obtusifolium,Rabbittobacco,
Vas. Plant,Pyrrhopappus carolinianus,"Carolina False-Dandelion, False Dandelion",
Vas. Plant,Ratibida pinnata,Pinnate Prairie Coneflower,
Vas. Plant,Rudbeckia fulgida,Orange Coneflower,
Vas. Plant,Rudbeckia fulgida var. fulgida,Orange Coneflower,
Vas. Plant,Rudbeckia fulgida var. umbrosa,Orange Coneflower,
Vas. Plant,Rudbeckia hirta,Blackeyed Susan,
Vas. Plant,Rudbeckia hirta var. hirta,Black-Eyed Susan,
Vas. Plant,Rudbeckia hirta var. pulcherrima,Narrow-Leaved Black-Eyed Susan,
Vas. Plant,Rudbeckia laciniata var. digitata,Cutleaf Coneflower,
Vas. Plant,Rudbeckia laciniata var. humilis,Coneflower,
Vas. Plant,Rudbeckia laciniata var. laciniata,Cutleaf Coneflower,
Vas. Plant,Rudbeckia triloba,"Brown-Eyed Susan, Hree-Lobed Black-Eyed Susan",
Vas. Plant,Rugelia nudicaulis,Rugel's Ragwort,Species of Concern
Vas. Plant,Senecio anonymus,"Small's Ragwort, Yellow Ragwort",
Vas. Plant,Senecio aureus,Golden Ragwort,
Vas. Plant,Senecio obovatus,"Round-Leaf Groundsel, Spatulate-Leaved Ragwort",
Vas. Plant,Sericocarpus asteroides,Toothed Whitetop Aster,
Vas. Plant,Sericocarpus linifolius,Narrowleaf Whitetop Aster,
Vas. Plant,Silphium asteriscus,"Starry Rosinweed, Starry Rosin-Weed",
Vas. Plant,Silphium asteriscus var. asteriscus,Rosin-Weed,
Vas. Plant,Silphium asteriscus var. laevicaule,Rosin-Weed,
Vas. Plant,Silphium compositum,"Kindey-Leaf Rosin-Weed, Rosin-Weed",
Vas. Plant,Silphium trifoliatum var. trifoliatum,Whorled Rosinweed,
Vas. Plant,Smallanthus uvedalius,Hairy Leafcup,
Vas. Plant,Solidago,Goldenrod,
Vas. Plant,Solidago altissima,Canada Goldenrod,
Vas. Plant,Solidago arguta,"Cutleaf Goldenrod, Sharp-Leaved Goldenrod",
Vas. Plant,Solidago arguta var. arguta,Atlantic Goldenrod,
Vas. Plant,Solidago arguta var. caroliniana,Carolina Goldenrod,
Vas. Plant,Solidago bicolor,"Silverrod, White Goldenrod",
Vas. Plant,Solidago caesia,"Bluestem Goldenrod, Wreath Goldenrod",
Vas. Plant,Solidago canadensis var. scabra,Canada Goldenrod,
Vas. Plant,Solidago curtisii,Mountain Decumbent Goldenrod,
Vas. Plant,Solidago erecta,Slender Golden-Rod,
Vas. Plant,Solidago flaccidifolia,"Appalachian Golden-Rod, Thin-Leaved Goldenrod",
Vas. Plant,Solidago flexicaulis,"A Goldenrod, Zig-Zag Goldenrod",
Vas. Plant,Solidago gigantea,"A Goldenrod, Tall Goldenrod",
Vas. Plant,Solidago glomerata,"A Goldenrod, Skunk Goldenrod",
Vas. Plant,Solidago hispida,"Hairy Goldenrod, Yellow Hairy Goldenrod",
Vas. Plant,Solidago juncea,Early Goldenrod,
Vas. Plant,Solidago nemoralis var. nemoralis,Gray Goldenrod,
Vas. Plant,Solidago odora,"Fragrant Goldenrod, Sweet Goldenrod",
Vas. Plant,Solidago patula,"Rough-Leaved Goldenrod, Roundleaf Goldenrod",
Vas. Plant,Solidago puberula,"Downy Goldenrod, Hairy Goldenrod",
Vas. Plant,Solidago roanensis,"Roan's Goldenrod, Tennessee Golden-Rod",
Vas. Plant,Solidago rugosa ssp. aspera,Rough-Stemmed Goldenrod,
Vas. Plant,Solidago speciosa var. erecta,Erect Goldenrod,
Vas. Plant,Solidago speciosa var. rigidiuscula,Showy Goldenrod,
Vas. Plant,Solidago speciosa var. speciosa,Showy Goldenrod,
Vas. Plant,Solidago sphacelata,"Autumn Goldenrod, Heart-Leaved Goldenrod",
Vas. Plant,Solidago uliginosa,Bog Goldenrod,
Vas. Plant,Soliva sessilis,Field Soliva,
Vas. Plant,Sonchus arvensis ssp. uliginosus,Moist Sowthistle,
Vas. Plant,Sonchus asper,"Spiney-Leaved Sonchus, Spiny-Leaf Sowthistle",
Vas. Plant,Symphyotrichum concolor,Eastern Silver Aster,
Vas. Plant,Symphyotrichum cordifolium,Common Blue Wood Aster,
Vas. Plant,Symphyotrichum divaricatum,Southern Annual Saltmarsh Aster,
Vas. Plant,Symphyotrichum dumosum var. dumosum,Rice Button Aster,
Vas. Plant,Symphyotrichum laeve var. laeve,Smooth Blue Aster,
Vas. Plant,Symphyotrichum lateriflorum var. lateriflorum,Calico Aster,
Vas. Plant,Symphyotrichum lowrieanum,Lowrie's Blue Wood Aster,
Vas. Plant,Symphyotrichum novae-angliae,New England Aster,
Vas. Plant,Symphyotrichum oblongifolium,Aromatic Aster,
Vas. Plant,Symphyotrichum patens var. patens,Late Purple Aster,
Vas. Plant,Symphyotrichum phlogifolium,Thinleaf Late Purple Aster,
Vas. Plant,Symphyotrichum pilosum var. pilosum,Hairy White Oldfield Aster,
Vas. Plant,Symphyotrichum prenanthoides,Crookedstem Aster,
Vas. Plant,Symphyotrichum puniceum var. puniceum,Purplestem Aster,
Vas. Plant,Symphyotrichum retroflexum,Rigid Whitetop Aster,
Vas. Plant,Symphyotrichum shortii,Short's Aster,
Vas. Plant,Symphyotrichum undulatum,"Wavyleaf Aster, Waxyleaf Aster",
Vas. Plant,Symphyotrichum urophyllum,White Arrowleaf Aster,
Vas. Plant,Tanacetum vulgare,Common Tansy,
Vas. Plant,Taraxacum laevigatum,Red-Seeded Dandelion,
Vas. Plant,Taraxacum officinale,"Brown-Seed Dandelion, Common Dandelion",
Vas. Plant,Tetragonotheca helianthoides,"Pineland Nerveray, Pineland Squarehead",
Vas. Plant,Tragopogon porrifolius,Salsify,
Vas. Plant,Tragopogon pratensis,"Yellow Goat's-Beard, Yellow Goatsbeard",
Vas. Plant,Tussilago farfara,Colt's Foot,
Vas. Plant,Verbesina alternifolia,Wingstem,
Vas. Plant,Verbesina occidentalis,"Wingstem, Yellow Crownbeard",
Vas. Plant,Verbesina virginica,White Crownbeard,
Vas. Plant,Vernonia gigantea,"Giant Ironweed, Tall Ironweed",
Vas. Plant,Vernonia noveboracensis,New York Ironweed,
Vas. Plant,Xanthium strumarium var. glabratum,Rough Cockleburr,
Vas. Plant,Youngia japonica,Oriental False Hawksbeard,
Vas. Plant,Campanula aparinoides,"Marsh Bellflower, Marsh Bluebell",
Vas. Plant,Campanula divaricata,Southern Harebell,
Vas. Plant,Campanulastrum americanum,Tall Bellflower,
Vas. Plant,Lobelia amoena,Southern Lobelia,
Vas. Plant,Lobelia cardinalis,Cardinal Flower,
Vas. Plant,Lobelia inflata,"Indian Tabacco, Indian-Tobacco",
Vas. Plant,Lobelia puberula,Downy Lobelia,
Vas. Plant,Lobelia siphilitica,"Great Blue Lobelia, Great Lobelia",
Vas. Plant,Lobelia spicata var. leptostachys,Lobelia,
Vas. Plant,Triodanis biflora,Small Venus' Looking-Glass,
Vas. Plant,Triodanis perfoliata var. perfoliata,Venus? Looking-Glass,
Vas. Plant,Buglossoides arvensis,Corn Gromwell,
Vas. Plant,Cynoglossum officinale,Gypsyflower,
Vas. Plant,Cynoglossum virginianum,"Wild Comfrey, Blue Hound's-Tongue",
Vas. Plant,Echium vulgare,"Blueweed, Common Viper's-Bugloss",
Vas. Plant,Hackelia virginiana,"Beggar's Lice, Virginia Stickseed",
Vas. Plant,Lithospermum canescens,"Hoary Puccoon, Orange Puccoon",
Vas. Plant,Mertensia virginica,"Virginia Bluebell, Virginia Bluebells",
Vas. Plant,Myosotis laxa,Bay Forget Me Not,
Vas. Plant,Myosotis macrosperma,Large-Seeded Forget-Me-Not,
Vas. Plant,Myosotis scorpioides,"Forget-Me-Not, True Forget-Me-Not",
Vas. Plant,Myosotis stricta,Strict Forget Me Not,
Vas. Plant,Myosotis verna,"Early Forget-Me-Not, Spring Forget-Me-Not",
Vas. Plant,Hydrophyllum canadense,"Blunt-Leaf Waterleaf, Canadian Waterleaf",
Vas. Plant,Hydrophyllum macrophyllum,"Bigleaf Waterleaf, Large-Leaf Water-Leaf",
Vas. Plant,Hydrophyllum virginianum var. atranthum,Virginia Waterleaf,
Vas. Plant,Nemophila aphylla,Nemophila,
Vas. Plant,Phacelia bipinnatifida,Purple Phacelia,
Vas. Plant,Phacelia dubia var. dubia,Smallflower Scorpionweed,
Vas. Plant,Phacelia fimbriata,"Fringed Phacelia, Fringed Scorpion-Weed",
Vas. Plant,Phacelia purshii,"Miami-Mist, Pursh's Purple Phacelia",
Vas. Plant,Alliaria petiolata,Garlic Mustard,
Vas. Plant,Arabidopsis thaliana,"Mouse-Ear Cress, Wall-Cress",
Vas. Plant,Arabis canadensis,Sicklepod,
Vas. Plant,Arabis laevigata,Smooth Rockcress,
Vas. Plant,Arabis laevigata var. burkii,"Burk's Rockcress, Porter's Rockcress",
Vas. Plant,Arabis laevigata var. laevigata,Smooth Rockcress,
Vas. Plant,Arabis lyrata,"Lyre-Leaf Rockcress, Lyre-Leaved Rockcress",
Vas. Plant,Arabis patens,Spreading Rockcress,
Vas. Plant,Barbarea verna,"Early Watercress, Early Winter-Cress",
Vas. Plant,Barbarea vulgaris,"Wintercress, Yellow Rocket",
Vas. Plant,Brassica juncea,India Mustard,
Vas. Plant,Brassica napus,Rape,
Vas. Plant,Brassica rapa,"Bird's Rape, Rape Mustard",
Vas. Plant,Capsella bursa-pastoris,"Common Shepherd's Purse, Shepherd's Purse",
Vas. Plant,Capsella rubella,Reddish Shepherd's Purse,
Vas. Plant,Cardamine angustata,Pepperwort,
Vas. Plant,Cardamine bulbosa,Bulbous Bittercress,
Vas. Plant,Cardamine clematitis,"Mountain Watercress, Mountain Bitter Cress",Species of Concern
Vas. Plant,Cardamine concatenata,"Cutleaf Toothwort, Cut-Leaved Toothwort",
Vas. Plant,Cardamine diphylla,"Toothwort, Two-Leaf Toothwort",
Vas. Plant,Cardamine dissecta,Dissected-Leaved Toothwort,
Vas. Plant,Cardamine flagellifera,"Bitter Cress, Bittercress",
Vas. Plant,Cardamine hirsuta,"Hairy Bittercress, Hairy Bitter-Cress",
Vas. Plant,Cardamine parviflora var. arenicola,Sand Bittercress,
Vas. Plant,Cardamine pensylvanica,"Pennsylvania Bittercress, Pennsylvania Bitter-Cress",
Vas. Plant,Cardamine rotundifolia,"Round Leaf Watercress, Round-Leaf Water Cress",
Vas. Plant,Conringia orientalis,"Hare's Ear Mustard, Hare's-Ear Mustard",
Vas. Plant,Draba brachycarpa,"Short-Fruited Whitlow Grass, Short-Fruited Whitlow-Grass",
Vas. Plant,Draba ramosissima,"Branched Whitlow Grass, Branching Whitlow Grass",
Vas. Plant,Draba verna,Whitlow Grass,
Vas. Plant,Erysimum cheiranthoides,"Worm-Seed Mustard, Worm-Seed Wallflower",
Vas. Plant,Hesperis matronalis,Dames Rocket,
Vas. Plant,Lepidium campestre,"Cow-Cress, Field Pepper-Grass",
Vas. Plant,Lepidium densiflorum,Common Pepperweed,
Vas. Plant,Lepidium virginicum,"Poor Man's Pepper, Poor-Man's Pepper-Grass",
Vas. Plant,Lunaria annua,"Annual Honesty, Moneyplant",
Vas. Plant,Microthlaspi perfoliatum,Claspleaf Pennycress,
Vas. Plant,Raphanus raphanistrum,Wild Radish,
Vas. Plant,Rorippa islandica,Northern Marsh Yellowcress,
Vas. Plant,Rorippa nasturtium-aquaticum,"True Watercress, Watercress",
Vas. Plant,Rorippa palustris,Yellowcress,
Vas. Plant,Rorippa palustris ssp. fernaldiana,Fernald's Yellowcress,
Vas. Plant,Rorippa palustris ssp. palustris,Bog Yellowcress,
Vas. Plant,Sibara virginica,"Sibara, Virginia Rockcress",
Vas. Plant,Sisymbrium officinale,"Hairy-Pod Hedgemustard, Hedge-Mustard",
Vas. Plant,Thlaspi arvense,Field Pennycress,
Vas. Plant,Thlaspi perfoliatum,"Pennycress, Perfoliate Penny-Cress",
Vas. Plant,Cleome hassleriana,Spider Flower,
Vas. Plant,Buxus sempervirens,"Boxwood, Common Boxwood",
Vas. Plant,Pachysandra procumbens,American Pachysandra,
Vas. Plant,Pachysandra terminalis,Pachysandra,
Vas. Plant,Amaranthus albus,"White Amaranthus, White Pigweed",
Vas. Plant,Amaranthus hybridus,"Amaranthus, Smooth Amaranth",
Vas. Plant,Amaranthus retroflexus,"Green Amaranthus, Red-Root Amaranth",
Vas. Plant,Amaranthus spinosus,"Spiny Amaranth, Spiny Amaranthus",
Vas. Plant,Chenopodium album var. missouriense,Missouri Lambsquarters,
Vas. Plant,Chenopodium ambrosioides,"Fragrant Goosefoot, Wormseed Goosefoot",
Vas. Plant,Chenopodium murale,"Nettle-Leaf Goosefoot, Pigweed",
Vas. Plant,Opuntia humifusa,Pricklypear,
Vas. Plant,Agrostemma githago,"Common Corncockle, Corncockle",
Vas. Plant,Arenaria serpyllifolia,"Thyme-Leaf Sandwort, Thyme-Leaved Sandwort",
Vas. Plant,Cerastium brachypetalum,"Short-Petal Chickweed, Short-Petalled Chickweed",
Vas. Plant,Cerastium fontanum ssp. vulgare,Common Mouse-Ear Chickweed,
Vas. Plant,Cerastium glomeratum,"Mouse-Ear Chickweed, Sticky Mouse-Ear Chickweed",
Vas. Plant,Cerastium nutans var. nutans,Nodding Chickweed,
Vas. Plant,Dianthus armeria,"Deptford Pink, Deptford-Pink",
Vas. Plant,Dianthus barbatus,"Sweet William, Sweet-William",
Vas. Plant,Holosteum umbellatum,Jagged Chickweed,
Vas. Plant,Lychnis coronaria,Rose Campion,
Vas. Plant,Paronychia argyrocoma,Silvery Nailwort,
Vas. Plant,Paronychia canadensis,"Forked Chickweed, Forked Nail-Wort",
Vas. Plant,Paronychia fastigiata,"Cluster-Stemmed Nail-Wort, Forked Chickweed",
Vas. Plant,Sagina decumbens,"Pearlwort, Small-Flowered Pearlwort",
Vas. Plant,Saponaria officinalis,"Bouncing-Bet, Soapwort, Bouncing-Bet",
Vas. Plant,Scleranthus annuus,German Knotgrass,
Vas. Plant,Silene antirrhina,Sleepy Catchfly,
Vas. Plant,Silene armeria,Sweet William Silene,
Vas. Plant,Silene dichotoma,Dichotoma Silene,
Vas. Plant,Silene latifolia ssp. alba,Bladder Campion,
Vas. Plant,Silene noctiflora,Nightflowering Silene,
Vas. Plant,Silene ovata,"Mountain Catchfly, Rough-Leaved Campion",Species of Concern
Vas. Plant,Silene rotundifolia,"Roundleaf Catchfly, Round-Leaved Campion",
Vas. Plant,Silene stellata,"Starry Campion, Starry Catchfly",
Vas. Plant,Silene virginica,Fire Pink,
Vas. Plant,Silene vulgaris,Bladder Campion,
Vas. Plant,Stellaria alsine,"Chickweed, Trailing Stitchwort",
Vas. Plant,Stellaria corei,"Core's Starwort, Tennessee Starwort",
Vas. Plant,Stellaria graminea,"Grasslike Starwort, Little Starwort",
Vas. Plant,Stellaria longifolia,"Longleaf Stitchwort, Long-Leaved Stitchwort",
Vas. Plant,Stellaria media,"Common Chickweed, Common Starwort",
Vas. Plant,Stellaria pubera,"Giant Chickweed, Star Chickweed",
Vas. Plant,Drosera rotundifolia,"Roundleaf Sundew, Sundew",
Vas. Plant,Mollugo verticillata,"Carpet-Weed, Green Carpet-Weed",
Vas. Plant,Claytonia caroliniana,"Carolina Spring-Beauty, Spring-Beauty",
Vas. Plant,Claytonia virginica,"Narrow-Leaved Spring Beauty, Narrow-Leaved Spring-Beauty",
Vas. Plant,Claytonia virginica var. acutiflora,Virginia Springbeauty,
Vas. Plant,Mirabilis jalapa,"Common Four-O'Clock, Four-O?Clock",
Vas. Plant,Phytolacca americana,"Common Pokeweed, Pokeweed",
Vas. Plant,Fagopyrum esculentum,"Buckwheat, Fagopyrum",
Vas. Plant,Fagopyrum vulgare,Buckwheat,
Vas. Plant,Polygonum amphibium var. emersum,Knotweed,
Vas. Plant,Polygonum aviculare,Bird Knotweed,
Vas. Plant,Polygonum caespitosum,"Bristled Knotweed, Bunchy Knotweed, Oriental Lady's Thumb, Oriental Ladysthumb",
Vas. Plant,Polygonum caespitosum var. longisetum,"Oriental Lady's Thumb, Oriental Ladysthumb",
Vas. Plant,Polygonum cespitosum,"Oriental Lady's Thumb, Oriental Ladysthumb",
Vas. Plant,Polygonum cilinode,"Fringed Black Bindweed, Fringed Climbing Buckwheat",
Vas. Plant,Polygonum coccineum,Longroot Smartweed,
Vas. Plant,Polygonum convolvulus,Black Bindweed,
Vas. Plant,Polygonum cuspidatum,Japanese Knotweed,
Vas. Plant,Polygonum erectum,"Erect Knotweed, Knotweed",
Vas. Plant,Polygonum hydropiper,"Annual Smartweed, Marshpepper Knotweed, Mild Water-Pepper",
Vas. Plant,Polygonum hydropiperoides,"A Smartweed, Swamp Smartweed",
Vas. Plant,Polygonum lapathifolium,"Dock-Leaf Smartweed, Smartweed",
Vas. Plant,Polygonum orientale,"Kiss-Me-Over-The-Garden-Gate, Prince's Feather",
Vas. Plant,Polygonum pensylvanicum,Pennsylvania Smartweed,
Vas. Plant,Polygonum persicaria,"Ladys Thumb, Lady's Thumb",
Vas. Plant,Polygonum punctatum,"Dotted Smartweed, Punctate Smartweed",
Vas. Plant,Polygonum sagittatum,"Arrow-Leaved Tearthumb, Tearthumb",
Vas. Plant,Polygonum scandens var. cristatum,Climbing False Buckwheat,
Vas. Plant,Polygonum setaceum,"Smartweed, Swamp Smartweed",
Vas. Plant,Polygonum virginianum,Virginia Knotweed,
Vas. Plant,Rumex acetosella,"Sheep Sorrel, Sheep Sorrell",
Vas. Plant,Rumex crispus,"Curled Dock, Curly Dock",
Vas. Plant,Rumex obtusifolius,Bitter Dock,
Vas. Plant,Rumex patientia,Patience Dock,
Vas. Plant,Portulaca oleracea,Common Purslane,
Vas. Plant,Celastrus orbiculatus,Oriental Bittersweet,
Vas. Plant,Celastrus scandens,Climbing Bittersweet,
Vas. Plant,Euonymus alatus,"Winged Euonymus, Winged Spindle-Tree",
Vas. Plant,Euonymus americana,"Strawberry Bush, Strawberrybush",
Vas. Plant,Euonymus atropurpurea,"Eastern Wahoo, Wahoo",
Vas. Plant,Euonymus atropurpureus,Wahoo,
Vas. Plant,Euonymus fortunei,"Climbing Euonymus, Winter-Creeper",
Vas. Plant,Euonymus obovata,Running Strawberry Bush,
Vas. Plant,Parnassia asarifolia,"Grass-Of-Parnassus, Kidneyleaf Grass-Of-Parnassus",
Vas. Plant,Parnassia glauca,"Fen Grass Of Parnassus, Fen Grass-Of-Parnassus",
Vas. Plant,Parnassia grandifolia,"Largeleaf Grass Of Parnassus, Large-Leaved Grass-Of-Parnassus",Species of Concern
Vas. Plant,Commelina communis,"Asiatic Dayflower, Common Dayflower",
Vas. Plant,Commelina diffusa,Dayflower,
Vas. Plant,Commelina erecta,"Erect Dayflower, Slender Dayflower",
Vas. Plant,Commelina virginica,"Virginia Dayflower, Virginia Day-Flower",
Vas. Plant,Murdannia keisak,Aneilema,
Vas. Plant,Tradescantia ohiensis,Ohio Spiderwort,
Vas. Plant,Tradescantia subaspera,Zigzag Spiderwort,
Vas. Plant,Tradescantia subaspera var. montana,Mountain Spiderwort,
Vas. Plant,Tradescantia subaspera var. subaspera,Spiderwort,
Vas. Plant,Tradescantia virginiana,Virginia Spiderwort,
Vas. Plant,Pontederia cordata,Pickerelweed,
Vas. Plant,Cornus alternifolia,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",
Vas. Plant,Cornus amomum,Silky Dogwood,
Vas. Plant,Cornus florida,Flowering Dogwood,
Vas. Plant,Cornus foemina,"Stiff Dogwood, Swamp Dogwood",
Vas. Plant,Decumaria barbara,Climbing Hydrangea,
Vas. Plant,Hydrangea arborescens,Wild Hydrangea,
Vas. Plant,Hydrangea cinerea,Gray-Leaf Hydrangea,
Vas. Plant,Hydrangea paniculata,"Hydrangea, Panicle Hydrangea",
Vas. Plant,Hydrangea radiata,"Snowy Hydrangea, White-Leaf Hydrangea",
Vas. Plant,Philadelphus hirsutus,Small-Flowered Hairy Mock-Orange,
Vas. Plant,Philadelphus inodorus,Scentless Mockorange,
Vas. Plant,Philadelphus inodorus var. grandiflorus,Large-Flowered Hairy Mock-Orange,
Vas. Plant,Philadelphus inodorus var. strigosus,Mock-Orange,
Vas. Plant,Philadelphus pubescens var. pubescens,Hoary Mockorange,
Vas. Plant,Philadelphus sharpianus,Sharp's Mock-Orange,
Vas. Plant,Nyssa sylvatica,"Black Gum, Black Tupelo",
Vas. Plant,Staphylea trifolia,"American Bladdernut, Bladdernut",
Vas. Plant,Cucumis melo,Canteloupe,
Vas. Plant,Cucurbita pepo,Field Pumpkin,
Vas. Plant,Melothria pendula,"Creeping Cucumber, Melonette",
Vas. Plant,Sicyos angulatus,Bur Cucumber,
Vas. Plant,Dioscorea oppositifolia,Chinese Yam,
Vas. Plant,Dioscorea quaternata,Wild Yam,
Vas. Plant,Dioscorea villosa,Wild Yam,
Vas. Plant,Aletris farinosa,"Colic Root, White-Tubed Colicroot",
Vas. Plant,Sambucus canadensis,"American Elder, Common Elderberry",
Vas. Plant,Sambucus nigra ssp. canadensis,"American Black Elderberry, Blue Elder, Common Elderberry, Elder, Elderberry, Mexican Elderberry",
Vas. Plant,Sambucus racemosa,"European Red Elder, Red Elderberry, Scarlet Elderberry",
Vas. Plant,Sambucus racemosa var. pubens,Red-Berried Elder,
Vas. Plant,Sambucus racemosa var. racemosa,"Bunchberry Elder, Red Elderberry",
Vas. Plant,Viburnum acerifolium,"Maple-Leaf Viburnum, Maple-Leaved Viburnum",
Vas. Plant,Viburnum dentatum,"Arrow-Wood, Southern Arrow-Wood",
Vas. Plant,Viburnum lantana,"Way-Faring Tree, Wayfaring-Tree",
Vas. Plant,Viburnum lantanoides,"Hobblebush, Witchhobble",
Vas. Plant,Viburnum lentago,"Nannyberry, Nanny-Berry",
Vas. Plant,Viburnum nudum var. cassinoides,"Northern Wild-Raisin, Wild Raisin",
Vas. Plant,Viburnum opulus,"Guelder-Rose Viburnum, Highbush Cranberry",
Vas. Plant,Viburnum plicatum,Chinese Viburnum,
Vas. Plant,Viburnum prunifolium,"Smooth Blackhaw, Smooth Black-Haw",
Vas. Plant,Viburnum rafinesquianum,"Downy Arrowwood, Downy Arrow-Wood",
Vas. Plant,Viburnum recognitum,"Northern Arrow-Wood, Southern Arrowwood",
Vas. Plant,Viburnum rufidulum,Rusty Blackhaw,
Vas. Plant,Lonicera canadensis,"American Fly-Honeysuckle, Canadian Honeysuckle",
Vas. Plant,Lonicera flava,Yellow Honeysuckle,
Vas. Plant,Lonicera fragrantissima,Fragrant Honeysuckle,
Vas. Plant,Lonicera japonica,Japanese Honeysuckle,
Vas. Plant,Lonicera korolkowii,Small-Leaved Honeysuckle,
Vas. Plant,Lonicera maackii,Amur Honeysuckle,
Vas. Plant,Lonicera morrowii,"Morrow Honeysuckle, Morrow's Honeysuckle",
Vas. Plant,Lonicera sempervirens,Trumpet Honeysuckle,
Vas. Plant,Lonicera standishii,Standish's Honeysuckle,
Vas. Plant,Lonicera tatarica,"Bush Honeysuckle, Tatarian Honeysuckle",
Vas. Plant,Symphoricarpos orbiculatus,"Coralberry, Coral-Berry",
Vas. Plant,Triosteum angustifolium,Yellowfruit Horsegentian,
Vas. Plant,Triosteum aurantiacum,"Coffee Tinker's-Weed, Horse-Gentian",
Vas. Plant,Triosteum perfoliatum,Feverwort,
Vas. Plant,Diervilla lonicera,Northern Bush-Honey-Suckle,
Vas. Plant,Diervilla sessilifolia,"Sessile-Leaved Bush-Honey-Suckle, Southern Bush-Honeysuckle",
Vas. Plant,Weigela florida,Weigela,
Vas. Plant,Dipsacus fullonum,Teasel,
Vas. Plant,Linnaea borealis,Twinflower,
Vas. Plant,Valerianella locusta,Lewiston Cornsalad,
Vas. Plant,Valerianella radiata,"Beaked Corn-Salad, Corn Salad",
Vas. Plant,Valerianella umbilicata,"Corn Salad, Navel-Shape Corn-Salad",
Vas. Plant,Equisetum arvense,Field Horsetail,
Vas. Plant,Equisetum hyemale var. affine,Scouringrush Horsetail,
Vas. Plant,Impatiens capensis,"Orange Jewelweed, Touch-Me-Not, Spotted Jewel-Weed",
Vas. Plant,Impatiens pallida,"Pale Jewel-Weed, Pale Jewelweed, Touch Me-Not",
Vas. Plant,Clethra acuminata,Mountain Pepper-Bush,
Vas. Plant,Galax urceolata,Galax,
Vas. Plant,Shortia galacifolia,Oconee Bells,Species of Concern
Vas. Plant,Diospyros virginiana,Persimmon,
Vas. Plant,Chimaphila maculata,"Spotted Wintergreen, Striped Pipsissewa",
Vas. Plant,Epigaea repens,Trailing Arbutus,
Vas. Plant,Gaultheria procumbens,"Teaberry, Wintergreen",
Vas. Plant,Gaylussacia baccata,Black Huckleberry,
Vas. Plant,Gaylussacia ursina,Bear Huckleberry,
Vas. Plant,Kalmia latifolia,Mountain Laurel,
Vas. Plant,Leiophyllum buxifolium,Sand Myrtle,
Vas. Plant,Leucothoe fontanesiana,"Dog-Hobble, Highland Dog-Hobble",
Vas. Plant,Leucothoe recurva,"Deciduous Leucothoe, Recurved Dog-Hobble",
Vas. Plant,Lyonia ligustrina,Maleberry,
Vas. Plant,Menziesia pilosa,Minniebush,
Vas. Plant,Monotropa hypopithys,"American Pinesap, Pine-Sap",
Vas. Plant,Monotropa uniflora,"Indian Pipe, Indian-Pipe",Species of Concern
Vas. Plant,Monotropsis odorata,"Sweet Pinesap, Sweet Pine-Sap",Species of Concern
Vas. Plant,Oxydendrum arboreum,Sourwood,
Vas. Plant,Pieris floribunda,"Mountain Fetter-Bush, Mountain Pieris",
Vas. Plant,Rhododendron,"Azaleas, Rhododendron",
Vas. Plant,Rhododendron arborescens,"Smooth Azalea, Sweet Azalea",
Vas. Plant,Rhododendron calendulaceum,Flame Azalea,
Vas. Plant,Rhododendron canescens,Mountain Azalea,
Vas. Plant,Rhododendron carolinianum,Carolina Azalea,
Vas. Plant,Rhododendron catawbiense,Catawba Rhododendron,
Vas. Plant,Rhododendron cumberlandense,Cumberland Rhododendron,
Vas. Plant,Rhododendron maximum,"Great Laurel, Rosebay Rhododendron",
Vas. Plant,Rhododendron minus,"Carolina Rhododendron, Small-Leaved Rhododendron",
Vas. Plant,Rhododendron periclymenoides,"Pink Azalea, Pinxter-Bush",
